Activity,Recreation Center,Address,Phone Number,Age Requirements,Days of Week,Times,Address/Location
Badminton,Potomac Community Center,11315 Falls Rd,240-777-6960,12 & Up,Saturday,2:00pm - 4:45pm,"11315 Falls Rd
(39.43483, -76.68069)"
Basketball,East County Community Center,3310 Gateshead Manor Way,240-777-8090,All Ages,Saturday,10:00am - 3:00pm,"3310 Gateshead Manor Way
(39.077368, -76.942378)"
Basketball,Upper County Community Center,8201 Emory Grove Rd,240-777-8077,All Ages,Saturday,11:00am - 5:00pm,"8201 Emory Grove Rd
(39.149651, -77.168899)"
Basketball,Germantown Community Center,18905 Kingsview Rd,240-777-8095,All Ages,Saturday,12:00pm - 2:45pm,"18905 Kingsview Rd
(39.164971, -77.287073)"
Basketball,North Potomac Community Center,13850 Travilah Rd,240-773-4800,18 & Up,Monday & Wednesday,6:15pm - 8:45pm,"13850 Travilah Rd
(39.082916, -77.232348)"
Badminton,White Oak Community Center,1700 April Ln,240-777-6940,18 & Up,Wednesday,6:00pm - 8:45pm,"1700 April Ln
(39.046674, -76.977052)"
Basketball,Germantown Community Center,18905 Kingsview Rd,240-777-8095,Middle & High School,Friday,3:00pm - 4:45pm,"18905 Kingsview Rd
(39.164971, -77.287073)"
Basketball,East County Community Center,3310 Gateshead Manor Way,240-777-8090,18 & Up,Wednesday,6:30pm - 8:50pm,"3310 Gateshead Manor Way
(39.077368, -76.942378)"
Basketball,Coffield Community Center,2450 Lyttonsville Rd,240-777-4900,All Ages,Saturday,9:30am - 6:00pm,"2450 Lyttonsville Rd
(38.999687, -77.050943)"
Volleyball,Coffield Community Center,2450 Lyttonsville Rd,240-777-4900,18 & Up,Tuesday,6:00pm - 8:45pm,"2450 Lyttonsville Rd
(38.999687, -77.050943)"
Basketball,Longwood Community Center,8700 Piney Branch Rd,210-777-6965,18 & Up,Saturday,3:00pm - 5:00pm,"8700 Piney Branch Rd
(38.998965, -76.997846)"
Basketball,Longwood Community Center,8700 Piney Branch Rd,210-777-6965,Gr 6th - 12th,Saturday,1:00pm - 3:00pm,"8700 Piney Branch Rd
(38.998965, -76.997846)"
Basketball,Lawton Community Center,4301 Willow Ln,240-777-6855,18 & Up,Tuesday,6:00pm - 9:00pm,"4301 Willow Ln
(43.093237, -89.568853)"
Badminton,Mid County Community Center,2004 Queensguard Rd,240-777-6820,18 & Up,Tuesday,6:00pm - 8:45pm,"2004 Queensguard Rd
(39.087347, -77.042882)"
Volleyball,North Potomac Community Center,13850 Travilah Rd,240-773-4800,18 & Up,Tuesday,6:15pm - 8:45pm,"13850 Travilah Rd
(39.082916, -77.232348)"
Pickleball,Ross Boddy Community Center,18529 Brooke Rd,240-777-8050,18 & Up,Monday & Wednesday,12:30pm - 2:30pm,"18529 Brooke Rd
(39.159587, -77.032656)"
Table Tennis,Clara Barton Community Center,14625 Bauer Dr,240-777-6922,55 & Up,Monday,3:30pm - 4:30pm,"14625 Bauer Dr
(39.095357, -77.109505)"
Basketball,Long Branch Community Center,8700 Piney Branch Rd,210-777-6965,18 & Up,Thursday,7:00pm - 9:30pm,"8700 Piney Branch Rd
(38.998965, -76.997846)"
Basketball,Wisconsin Place Community Center,5311 Friendship Blvd,240-777-8088,All Ages,Monday - Friday,12:00pm - 3:00pm,"5311 Friendship Blvd
(38.962173, -77.088959)"
Pickleball,Mid County Community Center,2004 Queensguard Rd,240-777-6820,18 & Up,Monday & Wednesday,12:00pm - 2:30pm,"2004 Queensguard Rd
(39.087347, -77.042882)"
Badminton,Coffield Community Center,2450 Lyttonsville Rd,240-777-4900,18 & Up,Thursday,6:00pm - 8:45pm,"2450 Lyttonsville Rd
(38.999687, -77.050943)"
Floor Hockey,Coffield Community Center,2450 Lyttonsville Rd,240-777-4900,18 & Up,Monday,6:00pm - 8:45pm,"2450 Lyttonsville Rd
(38.999687, -77.050943)"
Basketball,Wisconsin Place Community Center,5311 Friendship Blvd,240-777-8088,18 & Up,Wednesday,5:00pm - 9:00pm,"5311 Friendship Blvd
(38.962173, -77.088959)"
Pickleball,Damascus Community Center,25520 Oak Dr,240-777-6930,All Ages,Saturday,10:00am - 12:00pm,"25520 Oak Dr
(41.51656, -80.028597)"
Pickleball,Plum Gar Community Center,19561 Scenery Dr,240-777-4919,18 & Up,Wednesday,6:30pm - 8:55pm,"19561 Scenery Dr
(39.177047, -77.233861)"
Volleyball,Germantown Community Center,18905 Kingsview Rd,240-777-8095,18 & Up,Saturday,9:00am - 11:45am,"18905 Kingsview Rd
(39.164971, -77.287073)"
Volleyball,Lawton Community Center,4301 Willow Ln,240-777-6855,18 & Up,Monday,6:00pm - 9:00pm,"4301 Willow Ln
(43.093237, -89.568853)"
Basketball,Mid County Community Center,2004 Queensguard Rd,240-777-6820,18 & Up,Saturday,3:00pm - 6:45pm,"2004 Queensguard Rd
(39.087347, -77.042882)"
Pickleball,North Potomac Community Center,13850 Travilah Rd,240-773-4800,17 & Under,Monday,3:00pm - 6:00pm,"13850 Travilah Rd
(39.082916, -77.232348)"
Badminton,Wisconsin Place Community Center,5311 Friendship Blvd,240-777-8088,18 & Up,Saturday,9:30am - 12:00pm,"5311 Friendship Blvd
(38.962173, -77.088959)"
Badminton,Germantown Community Center,18905 Kingsview Rd,240-777-8095,18 & Up,Thursday,6:00pm - 8:45pm,"18905 Kingsview Rd
(39.164971, -77.287073)"
Basketball,Long Branch Community Center,8700 Piney Branch Rd,210-777-6965,18 & Up,Tuesday - Thursday,10:00am - 2:00pm,"8700 Piney Branch Rd
(38.998965, -76.997846)"
Basketball,Plum Gar Community Center,19561 Scenery Dr,240-777-4919,Middle & High School,Monday - Thursday,2:30pm - 4:30pm,"19561 Scenery Dr
(39.177047, -77.233861)"
Basketball,Wisconsin Place Community Center,5311 Friendship Blvd,240-777-8088,All Ages,Sunday,1:00pm - 3:00pm,"5311 Friendship Blvd
(38.962173, -77.088959)"
Basketball,Plum Gar Community Center,19561 Scenery Dr,240-777-4919,18 & Up,Friday,1:00pm - 2:30pm,"19561 Scenery Dr
(39.177047, -77.233861)"
